icohp_num,icohp_num,atom1,atom2,bond_dist,icohp_value,icohp_scaled,in_dumbbell,color_indumb,center1,b,c,center2,e,f,dih_angle
156.0,156,As81,As85,2.47262,-4.13828,0.8316245121720852,True,1,As81,As72,As243,As85,As86,As90,176.738642
157.0,157,As81,As243,2.47756,-4.21305,0.8466502148251456,True,1,As81,As72,As85,As243,As80,As252,152.453373
158.0,158,As82,As84,2.48401,-4.15673,0.8353322052836133,True,1,As82,As79,As87,As84,As66,As137,-20.117116
159.0,159,As82,As87,2.44558,-4.51528,0.9073860462125262,True,1,As82,As79,As84,As87,As74,As92,-22.372173
160.0,160,As83,As93,2.44371,-4.45198,0.8946653430168765,True,1,As83,As76,As78,As93,As90,As91,-81.577299
161.0,161,As84,As137,2.44023,-4.49922,0.9041586450541986,True,1,As84,As66,As82,As137,As69,As92,46.912273
162.0,162,As85,As86,2.45925,-4.37677,0.8795512184142729,True,1,As85,As81,As90,As86,As251,As258,-175.495975
163.0,163,As85,As90,2.5024,-4.04301,0.8124791505062157,True,1,As85,As81,As86,As90,As31,As93,-30.311819
164.0,164,As86,As251,2.51188,-3.91832,0.7874215757595244,True,1,As86,As85,As258,As251,As252,As255,-87.524665
165.0,165,As86,As258,2.48896,-4.12182,0.8283167274232638,True,1,As86,As85,As251,As258,As108,As266,81.669602
166.0,166,As87,As92,2.4679,-4.30011,0.8641457032961292,True,1,As87,As74,As82,As92,As73,As137,44.387615
167.0,167,As88,As89,2.48316,-4.08492,0.8209013412002074,True,1,As88,As110,As143,As89,As76,As101,114.213268
168.0,168,As88,As110,2.52274,-3.80952,0.7655572391452009,True,1,As88,As89,As143,As110,As101,As108,-111.529482
169.0,169,As88,As143,2.48933,-4.00183,0.8042036598648752,True,1,As88,As89,As110,As143,As141,As164,-97.61725
170.0,170,As89,As101,2.49022,-4.03366,0.8106001840784223,True,1,As89,As76,As88,As101,As99,As110,-120.716385
171.0,171,As90,As93,2.49199,-4.07503,0.8189138569252473,True,1,As90,As31,As85,As93,As83,As91,-33.410989
172.0,172,As91,As93,2.5064,-4.0308,0.8100254414063913,True,1,As91,As75,As97,As93,As83,As90,120.964908
173.0,173,As91,As97,2.52526,-3.81856,0.7673739082903617,True,1,As91,As75,As93,As97,As98,As377,-162.16091
174.0,174,As92,As137,2.44664,-4.51803,0.9079386833971714,True,1,As92,As73,As87,As137,As69,As84,-48.070318
175.0,175,As94,As106,2.45435,-4.42261,0.8887631778848665,True,1,As94,As10,As70,As106,As104,As107,-56.932759
176.0,176,As95,As378,2.4446,-4.07408,0.8187229458978245,True,1,As95,As405,As429,As378,As45,As429,-105.975678
177.0,177,As95,As405,2.47625,-4.09479,0.8228848062956428,True,1,As95,As378,As429,As405,As50,As330,-115.881382
178.0,178,As95,As429,2.54517,-3.08344,0.6196449456807888,True,1,As95,As378,As405,As429,As98,As378,111.381865
179.0,179,As96,As123,2.51055,-3.8247,0.768607796404442,True,1,As96,As156,As273,As123,As67,As223,172.621372
180.0,180,As96,As156,2.51717,-3.77715,0.7590521970844871,True,1,As96,As123,As273,As156,As149,As165,-171.494082
181.0,181,As96,As273,2.49293,-4.08151,0.8202160710912474,True,1,As96,As123,As156,As273,As264,As270,171.090068
182.0,182,As97,As98,2.50839,-4.05044,0.8139722756996387,True,1,As97,As91,As377,As98,As105,As429,164.2041
183.0,183,As97,As377,2.48322,-4.17219,0.8384390310562001,True,1,As97,As91,As98,As377,As373,As432,-114.975819
184.0,184,As98,As105,2.51764,-4.01391,0.8066312442977891,True,1,As98,As97,As429,As105,As100,As104,-81.556796
185.0,185,As98,As429,2.4641,-4.37844,0.8798868199045847,True,1,As98,As97,As105,As429,As95,As378,130.431547
186.0,186,As99,As101,2.50481,-3.91318,0.7863886466216786,True,1,As99,As154,As436,As101,As89,As110,-76.982257
187.0,187,As99,As154,2.45959,-4.32654,0.8694570490380094,True,1,As99,As101,As436,As154,As158,As489,-141.38361
188.0,188,As99,As436,2.51892,-3.95543,0.7948791633675901,True,1,As99,As101,As154,As436,As430,As438,-6.722451
189.0,189,As100,As102,2.49104,-4.16898,0.8377939527424872,True,1,As100,As105,As112,As102,As103,As111,-98.170904
190.0,190,As100,As105,2.52801,-3.93297,0.7903656247613612,True,1,As100,As102,As112,As105,As98,As104,-46.04992
191.0,191,As100,As112,2.4841,-4.27437,0.8589730192478507,True,1,As100,As102,As105,As112,As54,As427,-71.700052
192.0,192,As101,As110,2.50501,-3.89061,0.7818530025280639,True,1,As101,As89,As99,As110,As88,As108,123.004354
193.0,193,As102,As103,2.46951,-4.24033,0.8521323756968253,True,1,As102,As100,As111,As103,As60,As104,135.277226
194.0,194,As102,As111,2.53587,-3.75225,0.7540483185762459,True,1,As102,As100,As103,As111,As109,As165,117.366261
195.0,195,As103,As104,2.45236,-4.26902,0.8578978887249957,True,1,As103,As60,As102,As104,As105,As106,-162.457988
196.0,196,As104,As105,2.4665,-4.24681,0.8534345898628254,True,1,As104,As103,As106,As105,As98,As100,173.620929
197.0,197,As104,As106,2.48495,-4.13593,0.831152258577934,True,1,As104,As103,As105,As106,As94,As107,-67.755639
198.0,198,As106,As107,2.47808,-4.26148,0.8563826580441868,True,1,As106,As94,As104,As107,As202,As272,-76.011965
199.0,199,As107,As202,2.51512,-3.97306,0.798422070118606,True,1,As107,As106,As272,As202,As204,As262,145.928958
200.0,200,As107,As272,2.53316,-3.86802,0.7773133392549245,True,1,As107,As106,As202,As272,As70,As267,0.090878
201.0,201,As108,As109,2.51938,-3.8952,0.7827754042289807,True,1,As108,As110,As258,As109,As111,As270,-29.363072
202.0,202,As108,As110,2.50955,-3.9228,0.7883218719730555,True,1,As108,As109,As258,As110,As88,As101,-162.808832
203.0,203,As108,As258,2.47923,-4.14908,0.8337948691154187,True,1,As108,As109,As110,As258,As86,As266,169.090362
204.0,204,As109,As111,2.45042,-4.45274,0.8948180718388149,True,1,As109,As108,As270,As111,As102,As165,130.664151
205.0,205,As109,As270,2.48439,-4.27904,0.8599114976668664,True,1,As109,As108,As111,As270,As166,As273,-95.251896
206.0,206,As111,As165,2.4705,-4.39622,0.8834598705020357,True,1,As111,As102,As109,As165,As156,As166,-27.08753
207.0,207,As112,As427,2.51994,-3.9611,0.7960186007628403,True,1,As112,As54,As100,As427,As51,As482,-14.000982
208.0,208,As113,As443,2.49916,-4.07112,0.81812810732817,True,1,As113,As445,As448,As443,As116,As444,99.177113
209.0,209,As113,As445,2.47616,-4.268,0.8576929105692364,True,1,As113,As443,As448,As445,As446,As457,-94.918144
210.0,210,As113,As448,2.42525,-4.57265,0.9189150626791047,True,1,As113,As443,As445,As448,As114,As451,178.822316
211.0,211,As114,As117,2.47567,-4.34804,0.8737776670270532,True,1,As114,As403,As448,As117,As69,As116,63.387401
212.0,212,As114,As403,2.47577,-4.2584,0.8557637043973844,True,1,As114,As117,As448,As403,As55,As444,-38.240508
213.0,213,As114,As448,2.49326,-3.98577,0.8009762587065477,True,1,As114,As117,As403,As448,As113,As451,109.493068
214.0,214,As115,As118,2.47867,-4.19397,0.8428159175585896,True,1,As115,As5,As119,As118,As7,As126,52.861983
215.0,215,As115,As119,2.4734,-4.25328,0.8547347944390632,True,1,As115,As5,As118,As119,As122,As152,-178.15799
216.0,216,As116,As117,2.48535,-3.93714,0.7912036236922594,True,1,As116,As120,As443,As117,As69,As114,-158.196192
217.0,217,As116,As120,2.4699,-4.04667,0.8132146603592342,True,1,As116,As117,As443,As120,As67,As149,166.959365
218.0,218,As116,As443,2.43851,-4.43997,0.892251825712299,True,1,As116,As117,As120,As443,As113,As444,80.169166
219.0,219,As118,As126,2.48882,-4.13206,0.830374547339906,True,1,As118,As7,As115,As126,As127,As128,103.210127
220.0,220,As119,As122,2.48727,-4.08329,0.8205737780689449,True,1,As119,As115,As152,As122,As121,As124,-84.740054
221.0,221,As119,As152,2.49348,-4.1815,0.8403099591249442,True,1,As119,As115,As122,As152,As157,As162,-60.700376
222.0,222,As120,As149,2.44664,-4.25198,0.8544735477699582,True,1,As120,As67,As116,As149,As153,As156,177.008997
223.0,223,As121,As122,2.4948,-3.919,0.7875582278633639,True,1,As121,As277,As289,As122,As119,As124,-139.585531
224.0,224,As121,As277,2.49736,-3.9241,0.7885831186421605,True,1,As121,As122,As289,As277,As124,As280,133.736788
225.0,225,As121,As289,2.46649,-4.2553,0.8551407315710571,True,1,As121,As122,As277,As289,As159,As317,-119.653411
226.0,226,As122,As124,2.50457,-3.86334,0.7763728512461466,True,1,As122,As119,As121,As124,As125,As277,141.819401
227.0,227,As123,As223,2.48208,-4.18093,0.8401954125084905,True,1,As123,As67,As96,As223,As225,As240,31.681036
228.0,228,As124,As125,2.49609,-4.11815,0.8275792079804829,True,1,As124,As122,As277,As125,As67,As240,-9.53153
229.0,229,As124,As277,2.47753,-3.99347,0.8025236428235539,True,1,As124,As122,As125,As277,As121,As280,-149.26283
