icohp_num,icohp_num,atom1,atom2,bond_dist,icohp_value,icohp_scaled,in_dumbbell,color_indumb,center1,b,c,center2,e,f,dih_angle
228.0,228,P93,P206,2.48369,-2.44592,0.3744146709222138,False,0,,,,,,,
229.0,229,P94,P152,2.1953,-5.45527,0.835077648427514,True,1,P94,P61,P69,P152,P24,P82,59.94157
230.0,230,P95,P96,2.22303,-5.29715,0.8108730760105011,True,1,P95,P91,P177,P96,P11,P41,-55.92066
231.0,231,P95,P177,2.21654,-5.3797,0.8235096017695728,True,1,P95,P91,P96,P177,P131,P223,61.469027
232.0,232,P97,P173,2.289,-4.85226,0.7427705448784184,True,1,P97,P7,P90,P173,P50,P187,17.667776
233.0,233,P98,P167,2.26009,-5.14693,0.787877813750928,True,1,P98,P50,P82,P167,P7,P207,-86.897886
234.0,234,P99,P100,2.19379,-5.60863,0.8585535732053607,True,1,P99,P49,P212,P100,P4,P121,-49.16251
235.0,235,P99,P212,2.28873,-4.77002,0.7301814730622335,True,1,P99,P49,P100,P212,P89,P210,11.971132
236.0,236,P100,P121,2.19812,-5.29387,0.8103709826793108,True,1,P100,P4,P99,P121,P89,P179,62.582942
237.0,237,P101,P156,2.21943,-5.3457,0.8183049757755275,True,1,P101,P199,P200,P156,P63,P115,56.133151
238.0,238,P101,P199,2.22767,-5.34967,0.8189126923989498,True,1,P101,P156,P200,P199,P52,P134,-56.109343
239.0,239,P101,P200,2.2343,-5.33479,0.8166349031403795,True,1,P101,P156,P199,P200,P85,P201,79.325944
